id;date;details;status;payment_method;payment_date;payment_amount
1;2022-01-04T03:44:46;RAM systemic;PAID;CASH_ON_DELIVERY;2022-01-04T08:10:41;5801
2;2022-01-03T21:58:57;Idaho calculating model;ISSUED;CREDIT_CARD;2022-01-04T00:13:54;75071
3;2022-01-03T20:44:55;program SQL;CANCELLED;CREDIT_CARD;2022-01-03T19:24:19;79944
4;2022-01-04T07:39:02;Soft Central;PAID;CASH_ON_DELIVERY;2022-01-04T04:54:43;8068
5;2022-01-04T11:45:54;Bhutanese;CANCELLED;PAYPAL;2022-01-04T13:35:27;87472
6;2022-01-04T00:22:22;Engineer Shirt Court;CANCELLED;PAYPAL;2022-01-04T16:06:49;62834
7;2022-01-04T11:54:44;program transmitting parse;PAID;CREDIT_CARD;2022-01-04T02:55:02;38509
8;2022-01-04T02:36:20;Dynamic iterate;PAID;CREDIT_CARD;2022-01-03T22:53:08;6085
9;2022-01-03T19:30:03;black Maine;PAID;CREDIT_CARD;2022-01-03T22:12:08;11254
10;2022-01-04T08:45:24;Lead Well;CANCELLED;PAYPAL;2022-01-03T22:02:32;85804
