id;placed_date;status;invoice_id;code
1;2022-01-04T11:08:21;COMPLETED;11446;lavender
2;2022-01-04T14:46:21;CANCELLED;64871;e-enable one-to-one
3;2022-01-03T21:48:41;COMPLETED;91159;background out-of-the-box withdrawal
4;2022-01-03T20:02:14;COMPLETED;47588;Concrete
5;2022-01-04T01:04:40;CANCELLED;63689;Car hybrid Generic
6;2022-01-04T00:18:48;CANCELLED;37922;harness Holy United
7;2022-01-04T09:26:13;COMPLETED;15762;Visionary
8;2022-01-03T22:12:58;CANCELLED;1365;Credit Soft Cotton
9;2022-01-04T13:47:31;CANCELLED;52097;Implemented
10;2022-01-04T12:03:10;COMPLETED;61775;solution protocol
